X_Value,Temperature_0,Temperature_1,Temperature_2
45.6,84.43622,100.563505,67.477833
45.7,84.43622,100.563505,67.477833
45.8,84.43622,100.563505,67.477833
45.9,87.301758,104.580193,69.201452
46,87.301758,104.580193,69.201452
46.1,87.301758,104.580193,69.201452
46.2,90.316319,108.860993,71.011449
46.3,90.316319,108.860993,71.011449
46.4,90.316319,108.860993,71.011449
46.5,93.513014,113.412236,72.922355
46.6,93.513014,113.412236,72.922355
46.7,93.513014,113.412236,72.922355
46.8,96.877349,118.388992,74.851822
46.9,96.877349,118.388992,74.851822
47,96.877349,118.388992,74.851822
47.1,100.400419,123.81433,76.84815
47.2,100.400419,123.81433,76.84815
47.3,100.400419,123.81433,76.84815
47.4,104.105248,129.533181,78.947981
47.5,104.105248,129.533181,78.947981
47.6,104.105248,129.533181,78.947981
47.7,108.01326,135.630847,81.061273
47.8,108.01326,135.630847,81.061273
47.9,108.01326,135.630847,81.061273
48,112.185359,142.110323,83.276078
48.1,112.185359,142.110323,83.276078
48.2,112.185359,142.110323,83.276078
48.3,116.55907,148.973541,85.517274
48.4,116.55907,148.973541,85.517274
48.5,116.55907,148.973541,85.517274
48.6,121.069184,156.043259,87.844589
48.7,121.069184,156.043259,87.844589
48.8,121.069184,156.043259,87.844589
48.9,125.657391,163.358362,90.254755
49,125.657391,163.358362,90.254755
49.1,125.657391,163.358362,90.254755
49.2,130.388643,170.818805,92.766834
49.3,130.388643,170.818805,92.766834
49.4,130.388643,170.818805,92.766834
49.5,135.199717,178.512723,95.394713
49.6,135.199717,178.512723,95.394713
49.7,135.199717,178.512723,95.394713
49.8,140.10311,186.324204,98.10308
49.9,140.10311,186.324204,98.10308
50,140.10311,186.324204,98.10308
50.1,145.045494,194.190109,100.873566
50.2,145.045494,194.190109,100.873566
50.3,145.045494,194.190109,100.873566
50.4,150.026583,202.060469,103.69072
50.5,150.026583,202.060469,103.69072
50.6,150.026583,202.060469,103.69072
50.7,154.946476,209.847068,106.586661
50.8,154.946476,209.847068,106.586661
50.9,154.946476,209.847068,106.586661
51,159.677596,217.448923,109.50331
51.1,159.677596,217.448923,109.50331
51.2,159.677596,217.448923,109.50331
51.3,164.328999,224.741263,112.502908
51.4,164.328999,224.741263,112.502908
51.5,164.328999,224.741263,112.502908
51.6,168.794143,231.721592,115.519722
51.7,168.794143,231.721592,115.519722
51.8,168.794143,231.721592,115.519722
51.9,173.160331,238.489941,118.579779
52,173.160331,238.489941,118.579779
52.1,173.160331,238.489941,118.579779
52.2,177.381969,244.880634,121.619869
52.3,177.381969,244.880634,121.619869
52.4,177.381969,244.880634,121.619869
52.5,181.526654,250.764453,124.66793
52.6,181.526654,250.764453,124.66793
52.7,181.526654,250.764453,124.66793
52.8,185.566268,256.134827,127.69562
52.9,185.566268,256.134827,127.69562
53,185.566268,256.134827,127.69562
53.1,189.265916,261.027437,130.648552
53.2,189.265916,261.027437,130.648552
53.3,189.265916,261.027437,130.648552
53.4,192.778013,265.419944,133.553734
53.5,192.778013,265.419944,133.553734
53.6,192.778013,265.419944,133.553734
53.7,195.986754,269.323851,136.399976
53.8,195.986754,269.323851,136.399976
53.9,195.986754,269.323851,136.399976
54,199.161946,272.776957,139.180969
54.1,199.161946,272.776957,139.180969
54.2,199.161946,272.776957,139.180969
54.3,202.236339,275.755065,141.879519
54.4,202.236339,275.755065,141.879519
54.5,202.236339,275.755065,141.879519
54.6,204.984003,278.320205,144.560586
54.7,204.984003,278.320205,144.560586
54.8,204.984003,278.320205,144.560586
54.9,207.463558,280.514201,147.076793
55,207.463558,280.514201,147.076793
55.1,207.463558,280.514201,147.076793
55.2,209.510148,282.415772,149.58253
55.3,209.510148,282.415772,149.58253
55.4,209.510148,282.415772,149.58253
55.5,211.461088,283.984189,152.030912
55.6,211.461088,283.984189,152.030912
55.7,211.461088,283.984189,152.030912
55.8,213.3155,285.24039,154.377961
55.9,213.3155,285.24039,154.377961
56,213.3155,285.24039,154.377961
56.1,214.978907,286.239112,156.61496
56.2,214.978907,286.239112,156.61496
56.3,214.978907,286.239112,156.61496
56.4,216.437522,287.020599,158.814943
56.5,216.437522,287.020599,158.814943
56.6,216.437522,287.020599,158.814943
56.7,217.939197,287.697263,160.952031
56.8,217.939197,287.697263,160.952031
56.9,217.939197,287.697263,160.952031
57,219.3251,288.174063,162.97032
57.1,219.3251,288.174063,162.97032
57.2,219.3251,288.174063,162.97032
57.3,220.454693,288.517124,164.925445
57.4,220.454693,288.517124,164.925445
57.5,220.454693,288.517124,164.925445
57.6,221.482858,288.770584,166.773407
57.7,221.482858,288.770584,166.773407
57.8,221.482858,288.770584,166.773407
57.9,222.516842,288.870299,168.573307
58,222.516842,288.870299,168.573307
58.1,222.516842,288.870299,168.573307
58.2,223.322728,288.870299,170.243043
58.3,223.322728,288.870299,170.243043
58.4,223.322728,288.870299,170.243043
58.5,224.193786,288.73342,171.862046
58.6,224.193786,288.73342,171.862046
58.7,224.193786,288.73342,171.862046
58.8,224.889544,288.501426,173.407812
58.9,224.889544,288.501426,173.407812
59,224.889544,288.501426,173.407812
59.1,225.565243,288.150051,174.881671
59.2,225.565243,288.150051,174.881671
59.3,225.565243,288.150051,174.881671
59.4,226.172832,287.694492,176.242996
59.5,226.172832,287.694492,176.242996
59.6,226.172832,287.694492,176.242996
59.7,226.646311,287.145783,177.575668
59.8,226.646311,287.145783,177.575668
59.9,226.646311,287.145783,177.575668
60,227.060302,286.517267,178.796145
60.1,227.060302,286.517267,178.796145
60.2,227.060302,286.517267,178.796145
60.3,227.195446,285.913794,179.899835
60.4,227.195446,285.913794,179.899835
60.5,227.195446,285.913794,179.899835
60.6,227.390931,285.230452,180.891703
60.7,227.390931,285.230452,180.891703
60.8,227.390931,285.230452,180.891703
60.9,227.375784,284.50602,181.809657
61,227.375784,284.50602,181.809657
61.1,227.375784,284.50602,181.809657
61.2,227.510913,283.750176,182.688754
61.3,227.510913,283.750176,182.688754
61.4,227.510913,283.750176,182.688754
61.5,227.562028,282.963817,183.556188
61.6,227.562028,282.963817,183.556188
61.7,227.562028,282.963817,183.556188
61.8,227.631836,282.171904,184.366607
61.9,227.631836,282.171904,184.366607
62,227.631836,282.171904,184.366607
62.1,227.685078,281.323972,185.147685
62.2,227.685078,281.323972,185.147685
62.3,227.685078,281.323972,185.147685
62.4,227.576226,280.466042,185.896314
62.5,227.576226,280.466042,185.896314
62.6,227.576226,280.466042,185.896314
62.7,227.544989,279.543671,186.613203
62.8,227.544989,279.543671,186.613203
62.9,227.544989,279.543671,186.613203
63,227.439208,278.60591,187.274724
63.1,227.439208,278.60591,187.274724
63.2,227.439208,278.60591,187.274724
63.3,227.275677,277.642541,187.884214
63.4,227.275677,277.642541,187.884214
63.5,227.275677,277.642541,187.884214
63.6,227.207279,276.673705,188.523527
63.7,227.207279,276.673705,188.523527
63.8,227.207279,276.673705,188.523527
63.9,227.045865,275.674805,189.014875
64,227.045865,275.674805,189.014875
64.1,227.045865,275.674805,189.014875
64.2,226.763248,274.68502,189.439638
64.3,226.763248,274.68502,189.439638
64.4,226.763248,274.68502,189.439638
64.5,226.370993,273.69043,189.901381
64.6,226.370993,273.69043,189.901381
64.7,226.370993,273.69043,189.901381
64.8,226.114589,272.69242,190.331856
64.9,226.114589,272.69242,190.331856
65,226.114589,272.69242,190.331856
65.1,225.939615,271.678436,190.735596
65.2,225.939615,271.678436,190.735596
65.3,225.939615,271.678436,190.735596
65.4,225.68554,270.648688,191.135033
65.5,225.68554,270.648688,191.135033
65.6,225.68554,270.648688,191.135033
65.7,225.445178,269.653384,191.463357
65.8,225.445178,269.653384,191.463357
65.9,225.445178,269.653384,191.463357
66,225.198875,268.656738,191.827702
66.1,225.198875,268.656738,191.827702
66.2,225.198875,268.656738,191.827702
66.3,224.845487,267.664564,192.116644
66.4,224.845487,267.664564,192.116644
66.5,224.845487,267.664564,192.116644
66.6,224.538962,266.684085,192.409397
66.7,224.538962,266.684085,192.409397
66.8,224.538962,266.684085,192.409397
66.9,224.281209,265.715312,192.703336
67,224.281209,265.715312,192.703336
67.1,224.281209,265.715312,192.703336
67.2,223.982443,264.762221,192.949792
67.3,223.982443,264.762221,192.949792
67.4,223.982443,264.762221,192.949792
67.5,223.671324,263.83392,193.157117
67.6,223.671324,263.83392,193.157117
67.7,223.671324,263.83392,193.157117
67.8,223.310167,262.90222,193.369925
67.9,223.310167,262.90222,193.369925
68,223.310167,262.90222,193.369925
68.1,222.959869,261.998611,193.534062
68.2,222.959869,261.998611,193.534062
